filename,width,height,class,xmin,ymin,xmax,ymax
top_potsdam_3_11_RGB.png,68,68,car,461,12,529,80
top_potsdam_3_11_RGB.png,68,68,car,443,17,511,85
top_potsdam_3_11_RGB.png,68,68,car,284,82,352,150
top_potsdam_3_11_RGB.png,68,68,car,200,103,268,171
top_potsdam_3_11_RGB.png,68,68,car,294,116,362,184
top_potsdam_3_11_RGB.png,68,68,car,1451,125,1519,193
top_potsdam_3_11_RGB.png,68,68,car,1390,136,1458,204
top_potsdam_3_11_RGB.png,68,68,car,208,141,276,209
top_potsdam_3_11_RGB.png,68,68,car,299,170,367,238
top_potsdam_3_11_RGB.png,68,68,car,776,316,844,384
top_potsdam_3_11_RGB.png,68,68,car,1244,402,1312,470
top_potsdam_3_11_RGB.png,68,68,car,1282,407,1350,475
top_potsdam_3_11_RGB.png,68,68,car,1300,416,1368,484
top_potsdam_3_11_RGB.png,68,68,car,1355,426,1423,494
top_potsdam_3_11_RGB.png,68,68,car,1434,438,1502,506
top_potsdam_3_11_RGB.png,68,68,car,1452,448,1520,516
top_potsdam_3_11_RGB.png,68,68,car,1471,448,1539,516
top_potsdam_3_11_RGB.png,68,68,car,1530,460,1598,528
top_potsdam_3_11_RGB.png,68,68,car,1136,461,1204,529
top_potsdam_3_11_RGB.png,68,68,car,1510,461,1578,529
top_potsdam_3_11_RGB.png,68,68,car,1566,473,1634,541
top_potsdam_3_11_RGB.png,68,68,car,1584,476,1652,544
top_potsdam_3_11_RGB.png,68,68,car,1602,480,1670,548
top_potsdam_3_11_RGB.png,68,68,car,1621,482,1689,550
top_potsdam_3_11_RGB.png,68,68,car,1656,493,1724,561
top_potsdam_3_11_RGB.png,68,68,car,1676,497,1744,565
top_potsdam_3_11_RGB.png,68,68,car,1692,500,1760,568
top_potsdam_3_11_RGB.png,68,68,car,1713,503,1781,571
top_potsdam_3_11_RGB.png,68,68,car,1730,511,1798,579
top_potsdam_3_11_RGB.png,68,68,car,1365,515,1433,583
top_potsdam_3_11_RGB.png,68,68,car,1748,515,1816,583
top_potsdam_3_11_RGB.png,68,68,car,1783,526,1851,594
top_potsdam_3_11_RGB.png,68,68,car,1870,539,1938,607
top_potsdam_3_11_RGB.png,68,68,car,1503,544,1571,612
top_potsdam_3_11_RGB.png,68,68,car,1906,556,1974,624
top_potsdam_3_11_RGB.png,68,68,car,1925,559,1993,627
top_potsdam_3_11_RGB.png,68,68,car,1944,562,2012,630
top_potsdam_3_11_RGB.png,68,68,car,1608,566,1676,634
top_potsdam_3_11_RGB.png,68,68,car,1978,568,2046,636
top_potsdam_3_11_RGB.png,68,68,car,2013,575,2081,643
top_potsdam_3_11_RGB.png,68,68,car,2014,576,2082,644
top_potsdam_3_11_RGB.png,68,68,car,2031,580,2099,648
top_potsdam_3_11_RGB.png,68,68,car,2050,584,2118,652
top_potsdam_3_11_RGB.png,68,68,car,1713,589,1781,657
top_potsdam_3_11_RGB.png,68,68,car,2087,591,2155,659
top_potsdam_3_11_RGB.png,68,68,car,1730,593,1798,661
top_potsdam_3_11_RGB.png,68,68,car,1874,593,1942,661
top_potsdam_3_11_RGB.png,68,68,car,2067,593,2135,661
top_potsdam_3_11_RGB.png,68,68,car,2122,601,2190,669
top_potsdam_3_11_RGB.png,68,68,car,2171,609,2239,677
top_potsdam_3_11_RGB.png,68,68,car,1900,630,1968,698
top_potsdam_3_11_RGB.png,68,68,car,1928,640,1996,708
top_potsdam_3_11_RGB.png,68,68,car,1954,644,2022,712
top_potsdam_3_11_RGB.png,68,68,car,2008,655,2076,723
top_potsdam_3_11_RGB.png,68,68,car,2027,660,2095,728
top_potsdam_3_11_RGB.png,68,68,car,2065,670,2133,738
top_potsdam_3_11_RGB.png,68,68,car,2082,675,2150,743
top_potsdam_3_11_RGB.png,68,68,car,2100,677,2168,745
top_potsdam_3_11_RGB.png,68,68,car,2118,684,2186,752
top_potsdam_3_11_RGB.png,68,68,car,2154,690,2222,758
top_potsdam_3_11_RGB.png,68,68,car,2181,1208,2249,1276
top_potsdam_3_11_RGB.png,68,68,car,2176,1226,2244,1294
top_potsdam_3_11_RGB.png,68,68,car,1434,1238,1502,1306
top_potsdam_3_11_RGB.png,68,68,car,2171,1242,2239,1310
top_potsdam_3_11_RGB.png,68,68,car,2165,1259,2233,1327
top_potsdam_3_11_RGB.png,68,68,car,2150,1340,2218,1408
top_potsdam_3_11_RGB.png,68,68,car,2146,1358,2214,1426
top_potsdam_3_11_RGB.png,68,68,car,2136,1392,2204,1460
top_potsdam_3_11_RGB.png,68,68,car,2130,1423,2198,1491
top_potsdam_3_11_RGB.png,68,68,car,183,1424,251,1492
top_potsdam_3_11_RGB.png,68,68,car,2124,1440,2192,1508
top_potsdam_3_11_RGB.png,68,68,car,97,1448,165,1516
top_potsdam_3_11_RGB.png,68,68,car,2117,1490,2185,1558
top_potsdam_3_11_RGB.png,68,68,car,693,1526,761,1594
top_potsdam_3_11_RGB.png,68,68,car,2100,1555,2168,1623
top_potsdam_3_11_RGB.png,68,68,car,2176,1594,2244,1662
top_potsdam_3_11_RGB.png,68,68,car,2087,1605,2155,1673
top_potsdam_3_11_RGB.png,68,68,car,2172,1610,2240,1678
top_potsdam_3_11_RGB.png,68,68,car,723,1615,791,1683
top_potsdam_3_11_RGB.png,68,68,car,393,1618,461,1686
top_potsdam_3_11_RGB.png,68,68,car,304,1627,372,1695
top_potsdam_3_11_RGB.png,68,68,car,2168,1627,2236,1695
top_potsdam_3_11_RGB.png,68,68,car,330,1633,398,1701
top_potsdam_3_11_RGB.png,68,68,car,2159,1643,2227,1711
top_potsdam_3_11_RGB.png,68,68,car,2156,1659,2224,1727
top_potsdam_3_11_RGB.png,68,68,car,1308,1670,1376,1738
top_potsdam_3_11_RGB.png,68,68,car,24,1674,92,1742
top_potsdam_3_11_RGB.png,68,68,car,25,1674,93,1742
top_potsdam_3_11_RGB.png,68,68,car,104,1684,172,1752
top_potsdam_3_11_RGB.png,68,68,car,1358,1684,1426,1752
top_potsdam_3_11_RGB.png,68,68,car,1438,1699,1506,1767
top_potsdam_3_11_RGB.png,68,68,car,153,1704,221,1772
top_potsdam_3_11_RGB.png,68,68,car,1472,1708,1540,1776
top_potsdam_3_11_RGB.png,68,68,car,1155,1716,1223,1784
top_potsdam_3_11_RGB.png,68,68,car,1487,1716,1555,1784
top_potsdam_3_11_RGB.png,68,68,car,1210,1729,1278,1797
top_potsdam_3_11_RGB.png,68,68,car,1570,1731,1638,1799
top_potsdam_3_11_RGB.png,68,68,car,1603,1737,1671,1805
top_potsdam_3_11_RGB.png,68,68,car,1620,1743,1688,1811
top_potsdam_3_11_RGB.png,68,68,car,1640,1749,1708,1817
top_potsdam_3_11_RGB.png,68,68,car,1322,1751,1390,1819
top_potsdam_3_11_RGB.png,68,68,car,791,1753,859,1821
top_potsdam_3_11_RGB.png,68,68,car,1341,1755,1409,1823
top_potsdam_3_11_RGB.png,68,68,car,835,1758,903,1826
top_potsdam_3_11_RGB.png,68,68,car,856,1758,924,1826
top_potsdam_3_11_RGB.png,68,68,car,2003,1761,2071,1829
top_potsdam_3_11_RGB.png,68,68,car,1382,1766,1450,1834
top_potsdam_3_11_RGB.png,68,68,car,1399,1766,1467,1834
top_potsdam_3_11_RGB.png,68,68,car,877,1768,945,1836
top_potsdam_3_11_RGB.png,68,68,car,1445,1770,1513,1838
top_potsdam_3_11_RGB.png,68,68,car,935,1777,1003,1845
top_potsdam_3_11_RGB.png,68,68,car,1005,1798,1073,1866
top_potsdam_3_11_RGB.png,68,68,car,1021,1799,1089,1867
top_potsdam_3_11_RGB.png,68,68,car,1041,1801,1109,1869
top_potsdam_3_11_RGB.png,68,68,car,1055,1807,1123,1875
top_potsdam_3_11_RGB.png,68,68,car,1074,1810,1142,1878
top_potsdam_3_11_RGB.png,68,68,car,1092,1815,1160,1883
top_potsdam_3_11_RGB.png,68,68,car,1996,1815,2064,1883
top_potsdam_3_11_RGB.png,68,68,car,1112,1820,1180,1888
top_potsdam_3_11_RGB.png,68,68,car,1129,1824,1197,1892
top_potsdam_3_11_RGB.png,68,68,car,1148,1831,1216,1899
top_potsdam_3_11_RGB.png,68,68,car,1166,1836,1234,1904
top_potsdam_3_11_RGB.png,68,68,car,1183,1836,1251,1904
top_potsdam_3_11_RGB.png,68,68,car,1682,1846,1750,1914
top_potsdam_3_11_RGB.png,68,68,car,1645,1850,1713,1918
top_potsdam_3_11_RGB.png,68,68,car,1332,1851,1400,1919
top_potsdam_3_11_RGB.png,68,68,car,1609,1851,1677,1919
top_potsdam_3_11_RGB.png,68,68,car,1645,1851,1713,1919
top_potsdam_3_11_RGB.png,68,68,car,1722,1851,1790,1919
top_potsdam_3_11_RGB.png,68,68,car,1351,1856,1419,1924
top_potsdam_3_11_RGB.png,68,68,car,1385,1856,1453,1924
top_potsdam_3_11_RGB.png,68,68,car,1478,1858,1546,1926
top_potsdam_3_11_RGB.png,68,68,car,1758,1858,1826,1926
top_potsdam_3_11_RGB.png,68,68,car,1515,1859,1583,1927
top_potsdam_3_11_RGB.png,68,68,car,1516,1859,1584,1927
top_potsdam_3_11_RGB.png,68,68,car,1535,1859,1603,1927
top_potsdam_3_11_RGB.png,68,68,car,1497,1860,1565,1928
top_potsdam_3_11_RGB.png,68,68,car,1775,1860,1843,1928
top_potsdam_3_11_RGB.png,68,68,car,1424,1861,1492,1929
top_potsdam_3_11_RGB.png,68,68,car,1458,1861,1526,1929
top_potsdam_3_11_RGB.png,68,68,car,1404,1863,1472,1931
top_potsdam_3_11_RGB.png,68,68,car,1795,1866,1863,1934
top_potsdam_3_11_RGB.png,68,68,car,2163,1870,2231,1938
top_potsdam_3_11_RGB.png,68,68,car,1813,1872,1881,1940
top_potsdam_3_11_RGB.png,68,68,car,1831,1872,1899,1940
top_potsdam_3_11_RGB.png,68,68,car,1852,1878,1920,1946
top_potsdam_3_11_RGB.png,68,68,car,1888,1883,1956,1951
top_potsdam_3_11_RGB.png,68,68,car,1905,1891,1973,1959
top_potsdam_3_11_RGB.png,68,68,car,1926,1896,1994,1964
top_potsdam_3_11_RGB.png,68,68,car,1942,1900,2010,1968
top_potsdam_3_11_RGB.png,68,68,car,1959,1900,2027,1968
top_potsdam_3_11_RGB.png,68,68,car,1997,1909,2065,1977
top_potsdam_3_11_RGB.png,68,68,car,66,1962,134,2030
top_potsdam_3_11_RGB.png,68,68,car,1898,2014,1966,2082
top_potsdam_3_11_RGB.png,68,68,car,2082,2028,2150,2096
top_potsdam_3_11_RGB.png,68,68,car,1982,2031,2050,2099
top_potsdam_3_11_RGB.png,68,68,car,793,2032,861,2100
top_potsdam_3_11_RGB.png,68,68,car,2060,2033,2128,2101
top_potsdam_3_11_RGB.png,68,68,car,1891,2049,1959,2117
top_potsdam_3_11_RGB.png,68,68,car,1975,2067,2043,2135
top_potsdam_3_11_RGB.png,68,68,car,918,2073,986,2141
top_potsdam_3_11_RGB.png,68,68,car,1883,2082,1951,2150
top_potsdam_3_11_RGB.png,68,68,car,2042,2085,2110,2153
top_potsdam_3_11_RGB.png,68,68,car,962,2097,1030,2165
top_potsdam_3_11_RGB.png,68,68,car,1881,2100,1949,2168
top_potsdam_3_11_RGB.png,68,68,car,942,2107,1010,2175
top_potsdam_3_11_RGB.png,68,68,car,982,2110,1050,2178
top_potsdam_3_11_RGB.png,68,68,car,1882,2133,1950,2201
top_potsdam_3_11_RGB.png,68,68,car,1880,2153,1948,2221
top_potsdam_3_11_RGB.png,68,68,car,1962,2154,2030,2222
top_potsdam_3_11_RGB.png,68,68,car,955,2180,1023,2248
top_potsdam_3_10_RGB.png,68,68,car,1637,5,1705,73
top_potsdam_3_10_RGB.png,68,68,car,114,8,182,76
top_potsdam_3_10_RGB.png,68,68,car,1397,25,1465,93
top_potsdam_3_10_RGB.png,68,68,car,1613,43,1681,111
top_potsdam_3_10_RGB.png,68,68,car,1392,78,1460,146
